id,name,vernacularName,otherNames,wiktionary,glottologId,glottologFamilyId,glottologParentId,level,lat,long,country,iso639_3,iso639_1,scope,type,speakers,logo,logoDesc
118,Afrikaans,Afrikaans,,6653.0,afri1274,indo1319,afri1273,language,-22.0,30.0,BW MZ NA ZA ZM ZW,afr,af,I,L,7200000.0,af,"General James Barry Munnik Hertzog KC (3 April 1866 – 21 November 1942), a South African politician and soldier"
346,Arabic,العربية,,125016.0,arab1395,afro1255,arab1394,family,24.0,54.0,AE BH DJ DZ EG EH ER GM IL IQ JO KM KW LB LY MA MR OM PS QA SA SD SO SY TD TN YE,ara,ar,M,L,350000000.0,ar,"Ibn al-Haytham (c. 965 – c. 1040), a Muslim Arab mathematician, astronomer, and physicist of the Islamic Golden Age"
347,Standard Arabic,العربية ,,,stan1318,afro1255,arab1395,language,27.9625,43.8525,AE BH DJ DZ EG ER IL IQ JO KM KW LB LY MA OM PS QA SA SD SO SY TD TN TZ YE,arb,,I,L,280000000.0,arb,"Taha Hussein (1889–1973), one of the most influential 20th-century Egyptian writers and intellectuals"
380,Assamese,অসমীয়া,,3715.0,assa1263,indo1319,assa1262,language,26.0876,91.2932,BD BT IN,asm,as,I,L,15311351.0,as,"Lakshminath Bezbaroa (1864 – 1938), a writer from Assam"
504,Azerbaijani,Azərbaycan,,9189.0,mode1262,turk1311,azer1255,family,40.3,47.7,,aze,az,M,L,23000000.0,az,"Huseyn Javid (1882 – 1941), a prominent Azerbaijani poet and playwright"
621,Belarusian,беларуская,,3556.0,bela1254,indo1319,east1426,language,53.2307,25.6038,BY LT LV PL RU UA,bel,be,I,L,5100000.0,be,"Francišak Bahuševič (1840 – 1900) a Belarusian poet, writer and lawyer"
623,Bengali,বাংলা,,3110.0,beng1280,indo1319,gaud1238,language,24.0,90.0,BD IN NP,ben,bn,I,L,230000000.0,bn,"Rabindranath Tagore (1861 – 1941), a Bengali polymath – poet, writer, playwright, composer, philosopher, social reformer and painter"
857,Tibetan,བོད་སྐད།,,2868.0,tibe1272,sino1245,cent2346,language,28.3681,90.1872,BT CN IN NP,bod,bo,I,L,1200000.0,bo,"Gendün Chöphel (1903 – 1951), a Tibetan scholar, thinker, writer, poet, linguist, and artist"
932,Breton,Brezhoneg,,1608.0,bret1244,indo1319,sout3176,language,48.2452,-3.78934,FR,bre,br,I,L,210000.0,br,"Abeozen (1896 – 1963), a Breton nationalist, novelist and dramatist who wrote in the Breton language"
1012,Bulgarian,български,,43450.0,bulg1262,indo1319,mace1252,language,43.3646,25.047,BG GR MD MK RO RS TR UA,bul,bg,I,L,8000000.0,bg,"Elin Pelin (1877 – 1949), arguably considered Bulgaria’s best narrator of country life"
